maturity,strike,option_price_analytic,time_taken_analytic,option_price_simulation,option_interval_simulation,time_taken_simulation
0.2,90,10.65712467176554,0.06875395774841309,10.766864425880444,"(10.560965464799773, 10.972763386961114)",1.4308910369873047
0.2,95,6.587123243755055,0.07564711570739746,6.662422988803498,"(6.4848661934343745, 6.8399797841726215)",1.3301448822021484
0.2,100,3.4477702221137148,0.04797101020812988,3.483429872011812,"(3.347797377118832, 3.6190623669047923)",1.3296568393707275
0.2,105,1.4551767611177426,0.0550689697265625,1.4658429719654256,"(1.376471510843991, 1.55521443308686)",1.329298973083496
0.2,110,0.472413540766201,0.05336594581604004,0.4935281198181443,"(0.443242673201939, 0.5438135664343496)",1.321742057800293
0.4,90,11.71122234861414,0.06938791275024414,11.682446371677282,"(11.40115464621064, 11.963738097143922)",3.049144744873047
0.4,95,8.089438486111378,0.05540323257446289,8.044755146302391,"(7.798990322648072, 8.29051996995671)",2.973933219909668
0.4,100,5.1615756102813535,0.05254507064819336,5.125504674015167,"(4.923457830599827, 5.327551517430506)",2.9666128158569336
0.4,105,3.0017930508282364,0.04646492004394531,2.981105376183355,"(2.825740361486202, 3.136470390880508)",2.9876837730407715
0.4,110,1.5714808383575598,0.042223215103149414,1.5667057759348648,"(1.4554756842112997, 1.67793586765843)",2.9408481121063232
0.5,90,12.232910365366692,0.04877901077270508,12.122828615681152,"(11.809502424715138, 12.436154806647167)",3.764742851257324
0.5,95,8.755309490585532,0.049839019775390625,8.653552542486013,"(8.377701435695904, 8.929403649276122)",3.722752809524536
0.5,100,5.897105728006028,0.042791128158569336,5.82221259510542,"(5.5903627012038095, 6.054062489007031)",3.698564291000366
0.5,105,3.7072056916306915,0.046395063400268555,3.6578127743047633,"(3.4723332028559053, 3.843292345753621)",3.763131856918335
0.5,110,2.1588749266267677,0.04494285583496094,2.1227532146306842,"(1.9815316823519018, 2.263974746909467)",3.6848769187927246
1.0,90,14.577872276210313,0.05045294761657715,14.235409850174328,"(13.792930692515622, 14.677889007833034)",7.724102020263672
1.0,95,11.555054013964897,0.05861377716064453,11.237953204909385,"(10.835909150181696, 11.639997259637074)",5.904649019241333
1.0,100,8.945661910155128,0.04189801216125488,8.665523393104891,"(8.307046561633985, 9.024000224575797)",5.314661026000977
1.0,105,6.755900913659418,0.03697395324707031,6.510086718017656,"(6.19634878515507, 6.823824650880242)",5.255697011947632
1.0,110,4.972235701487928,0.03906702995300293,4.761618198039765,"(4.4921228904759225, 5.031113505603608)",5.355243921279907
